,tone
8864,"{'document_tone': {'tones': [{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.744572, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8865,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8866,"{'document_tone': {'tones': [{'score': 0.792028, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8867,"{'document_tone': {'tones': [{'score': 0.632217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8868,{'document_tone': {'tones': []}}
8869,"{'document_tone': {'tones': [{'score': 0.84121, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8870,"{'document_tone': {'tones': [{'score': 0.667224, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8871,"{'document_tone': {'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8872,"{'document_tone': {'tones': [{'score': 0.923309, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.838593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8873,"{'document_tone': {'tones': [{'score': 0.894359, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Good rooms, quiet, well located, great price!', 'tones': [{'score': 0.913358, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'What more needed!', 'tones': []}]}"
8874,"{'document_tone': {'tones': [{'score': 0.825302, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8875,"{'document_tone': {'tones': [{'score': 0.825302, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8876,"{'document_tone': {'tones': [{'score': 0.65928, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8877,"{'document_tone': {'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8878,{'document_tone': {'tones': []}}
8879,{'document_tone': {'tones': []}}
8880,"{'document_tone': {'tones': [{'score': 0.865485, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8881,{'document_tone': {'tones': []}}
8882,{'document_tone': {'tones': []}}
8883,"{'document_tone': {'tones': [{'score': 0.551285, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8884,"{'document_tone': {'tones': [{'score': 0.551285, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8885,"{'document_tone': {'tones': [{'score': 0.690007, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8886,{'document_tone': {'tones': []}}
8887,{'document_tone': {'tones': []}}
8888,{'document_tone': {'tones': []}}
8889,{'document_tone': {'tones': []}}
8890,{'document_tone': {'tones': []}}
8891,{'document_tone': {'tones': []}}
8892,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8893,"{'document_tone': {'tones': [{'score': 0.587624, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8894,"{'document_tone': {'tones': [{'score': 0.587624, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8895,"{'document_tone': {'tones': [{'score': 0.643964, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8896,"{'document_tone': {'tones': [{'score': 0.643964, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8897,"{'document_tone': {'tones': [{'score': 0.643964, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8898,"{'document_tone': {'tones': [{'score': 0.554656, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8899,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8900,"{'document_tone': {'tones': [{'score': 0.513106, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8901,"{'document_tone': {'tones': [{'score': 0.8923, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.952933, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'A great choice!', 'tones': [{'score': 0.913248, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Beds super comfy!', 'tones': [{'score': 0.701676, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
8902,"{'document_tone': {'tones': [{'score': 0.735294, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8903,"{'document_tone': {'tones': [{'score': 0.611436, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8904,"{'document_tone': {'tones': [{'score': 0.611436, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8905,"{'document_tone': {'tones': [{'score': 0.834327, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8906,"{'document_tone': {'tones': [{'score': 0.756855, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8907,{'document_tone': {'tones': []}}
8908,{'document_tone': {'tones': []}}
8909,{'document_tone': {'tones': []}}
8910,"{'document_tone': {'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8911,"{'document_tone': {'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8912,"{'document_tone': {'tones': [{'score': 0.93261, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8913,"{'document_tone': {'tones': [{'score': 0.554358, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8914,"{'document_tone': {'tones': [{'score': 0.554358, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8915,"{'document_tone': {'tones': [{'score': 0.816533, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8916,"{'document_tone': {'tones': [{'score': 0.829092, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8917,{'document_tone': {'tones': []}}
8918,"{'document_tone': {'tones': [{'score': 0.730895, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8919,{'document_tone': {'tones': []}}
8920,"{'document_tone': {'tones': [{'score': 0.557716, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8921,"{'document_tone': {'tones': [{'score': 0.573835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
8922,"{'document_tone': {'tones': [{'score': 0.801283, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8923,"{'document_tone': {'tones': [{'score': 0.655778, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8924,"{'document_tone': {'tones': [{'score': 0.921899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8925,"{'document_tone': {'tones': [{'score': 0.921899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8926,"{'document_tone': {'tones': [{'score': 0.784641, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8927,{'document_tone': {'tones': []}}
8928,{'document_tone': {'tones': []}}
8929,{'document_tone': {'tones': []}}
8930,{'document_tone': {'tones': []}}
8931,{'document_tone': {'tones': []}}
8932,{'document_tone': {'tones': []}}
8933,{'document_tone': {'tones': []}}
8934,{'document_tone': {'tones': []}}
8935,{'document_tone': {'tones': []}}
8936,{'document_tone': {'tones': []}}
8937,{'document_tone': {'tones': []}}
8938,{'document_tone': {'tones': []}}
8939,{'document_tone': {'tones': []}}
8940,{'document_tone': {'tones': []}}
8941,{'document_tone': {'tones': []}}
8942,"{'document_tone': {'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8943,"{'document_tone': {'tones': [{'score': 0.807316, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8944,{'document_tone': {'tones': []}}
8945,"{'document_tone': {'tones': [{'score': 0.676409, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8946,"{'document_tone': {'tones': [{'score': 0.622759, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8947,"{'document_tone': {'tones': [{'score': 0.908661, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8948,"{'document_tone': {'tones': [{'score': 0.908661, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8949,"{'document_tone': {'tones': [{'score': 0.528914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
8950,"{'document_tone': {'tones': [{'score': 0.528914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
8951,"{'document_tone': {'tones': [{'score': 0.966403, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Worst Hotel Ever.', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Stay anywhere else!!', 'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
8952,"{'document_tone': {'tones': [{'score': 0.60032, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8953,{'document_tone': {'tones': []}}
8954,"{'document_tone': {'tones': [{'score': 0.595175, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8955,"{'document_tone': {'tones': [{'score': 0.569887, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8956,"{'document_tone': {'tones': [{'score': 0.521823, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8957,"{'document_tone': {'tones': [{'score': 0.68293, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8958,"{'document_tone': {'tones': [{'score': 0.68293, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8959,"{'document_tone': {'tones': [{'score': 0.873367, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8960,{'document_tone': {'tones': []}}
8961,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8962,"{'document_tone': {'tones': [{'score': 0.745758, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8963,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8964,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
8965,"{'document_tone': {'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8966,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8967,"{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8968,"{'document_tone': {'tones': [{'score': 0.749373, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8969,"{'document_tone': {'tones': [{'score': 0.749373, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8970,"{'document_tone': {'tones': [{'score': 0.879523, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8971,"{'document_tone': {'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8972,{'document_tone': {'tones': []}}
8973,{'document_tone': {'tones': []}}
8974,{'document_tone': {'tones': []}}
8975,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8976,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8977,{'document_tone': {'tones': []}}
8978,"{'document_tone': {'tones': [{'score': 0.930592, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8979,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8980,"{'document_tone': {'tones': [{'score': 0.882886, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8981,{'document_tone': {'tones': []}}
8982,{'document_tone': {'tones': []}}
8983,{'document_tone': {'tones': []}}
8984,"{'document_tone': {'tones': [{'score': 0.671199, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8985,{'document_tone': {'tones': []}}
8986,"{'document_tone': {'tones': [{'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'If I could give a negative number in my rating, I would.', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Terrible place.', 'tones': [{'score': 0.52971, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
8987,{'document_tone': {'tones': []}}
8988,{'document_tone': {'tones': []}}
8989,"{'document_tone': {'tones': [{'score': 0.545574, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
8990,"{'document_tone': {'tones': [{'score': 0.807316, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8991,{'document_tone': {'tones': []}}
8992,{'document_tone': {'tones': []}}
8993,"{'document_tone': {'tones': [{'score': 0.782408, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8994,{'document_tone': {'tones': []}}
8995,{'document_tone': {'tones': []}}
8996,"{'document_tone': {'tones': [{'score': 0.779198, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8997,"{'document_tone': {'tones': [{'score': 0.773737, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
8998,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'OK for one night.', 'tones': []}, {'sentence_id': 1, 'text': 'Bathroom needs to be improved', 'tones': []}]}"
8999,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'OK for one night.', 'tones': []}, {'sentence_id': 1, 'text': 'Bathroom needs to be improved', 'tones': []}]}"
9000,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'OK for one night.', 'tones': []}, {'sentence_id': 1, 'text': 'Bathroom needs to be improved', 'tones': []}]}"
9001,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'OK for one night.', 'tones': []}, {'sentence_id': 1, 'text': 'Bathroom needs to be improved', 'tones': []}]}"
9002,"{'document_tone': {'tones': [{'score': 0.92945, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9003,"{'document_tone': {'tones': [{'score': 0.92945, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9004,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9005,"{'document_tone': {'tones': [{'score': 0.894641, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9006,"{'document_tone': {'tones': [{'score': 0.787085, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9007,"{'document_tone': {'tones': [{'score': 0.787982, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9008,{'document_tone': {'tones': []}}
9009,"{'document_tone': {'tones': [{'score': 0.607608, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
9010,{'document_tone': {'tones': []}}
9011,{'document_tone': {'tones': []}}
9012,"{'document_tone': {'tones': [{'score': 0.781296, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9013,"{'document_tone': {'tones': [{'score': 0.528971, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9014,"{'document_tone': {'tones': [{'score': 0.528971, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9015,{'document_tone': {'tones': []}}
9016,{'document_tone': {'tones': []}}
9017,{'document_tone': {'tones': []}}
9018,"{'document_tone': {'tones': [{'score': 0.821905, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9019,"{'document_tone': {'tones': [{'score': 0.821905, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9020,{'document_tone': {'tones': []}}
9021,{'document_tone': {'tones': []}}
9022,{'document_tone': {'tones': []}}
9023,"{'document_tone': {'tones': [{'score': 0.514015, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9024,"{'document_tone': {'tones': [{'score': 0.785667, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9025,{'document_tone': {'tones': []}}
9026,"{'document_tone': {'tones': [{'score': 0.655769, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9027,"{'document_tone': {'tones': [{'score': 0.655769, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9028,"{'document_tone': {'tones': [{'score': 0.644697, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9029,"{'document_tone': {'tones': [{'score': 0.644697, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9030,"{'document_tone': {'tones': [{'score': 0.644697, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9031,"{'document_tone': {'tones': [{'score': 0.644697, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9032,"{'document_tone': {'tones': [{'score': 0.644697, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9033,{'document_tone': {'tones': []}}
9034,{'document_tone': {'tones': []}}
9035,{'document_tone': {'tones': []}}
9036,"{'document_tone': {'tones': [{'score': 0.799478, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9037,"{'document_tone': {'tones': [{'score': 0.799478, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9038,"{'document_tone': {'tones': [{'score': 0.71715, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9039,"{'document_tone': {'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9040,{'document_tone': {'tones': []}}
9041,"{'document_tone': {'tones': [{'score': 0.577947, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9042,"{'document_tone': {'tones': [{'score': 0.747182, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9043,"{'document_tone': {'tones': [{'score': 0.747182, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9044,"{'document_tone': {'tones': [{'score': 0.664547, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9045,"{'document_tone': {'tones': [{'score': 0.664547, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9046,{'document_tone': {'tones': []}}
9047,{'document_tone': {'tones': []}}
9048,{'document_tone': {'tones': []}}
9049,{'document_tone': {'tones': []}}
9050,{'document_tone': {'tones': []}}
9051,"{'document_tone': {'tones': [{'score': 0.546949, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9052,{'document_tone': {'tones': []}}
9053,"{'document_tone': {'tones': [{'score': 0.697445, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9054,"{'document_tone': {'tones': [{'score': 0.548888, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9055,"{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9056,"{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9057,"{'document_tone': {'tones': [{'score': 0.815443, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9058,{'document_tone': {'tones': []}}
9059,{'document_tone': {'tones': []}}
9060,{'document_tone': {'tones': []}}
9061,"{'document_tone': {'tones': [{'score': 0.558293, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9062,"{'document_tone': {'tones': [{'score': 0.742078, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9063,{'document_tone': {'tones': []}}
9064,"{'document_tone': {'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9065,"{'document_tone': {'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9066,"{'document_tone': {'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9067,"{'document_tone': {'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9068,"{'document_tone': {'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
9069,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9070,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9071,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9072,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9073,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9074,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9075,{'document_tone': {'tones': []}}
9076,{'document_tone': {'tones': []}}
9077,{'document_tone': {'tones': []}}
9078,{'document_tone': {'tones': []}}
9079,"{'document_tone': {'tones': [{'score': 0.773858, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9080,{'document_tone': {'tones': []}}
9081,"{'document_tone': {'tones': [{'score': 0.832448, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9082,{'document_tone': {'tones': []}}
9083,"{'document_tone': {'tones': [{'score': 0.901815, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9084,{'document_tone': {'tones': []}}
9085,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9086,"{'document_tone': {'tones': [{'score': 0.513777, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9087,{'document_tone': {'tones': []}}
9088,{'document_tone': {'tones': []}}
9089,"{'document_tone': {'tones': [{'score': 0.858066, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9090,{'document_tone': {'tones': []}}
9091,{'document_tone': {'tones': []}}
9092,{'document_tone': {'tones': []}}
9093,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9094,{'document_tone': {'tones': []}}
9095,{'document_tone': {'tones': []}}
9096,"{'document_tone': {'tones': [{'score': 0.601945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9097,"{'document_tone': {'tones': [{'score': 0.601945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9098,{'document_tone': {'tones': []}}
9099,{'document_tone': {'tones': []}}
9100,"{'document_tone': {'tones': [{'score': 0.638984, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9101,{'document_tone': {'tones': []}}
9102,{'document_tone': {'tones': []}}
9103,{'document_tone': {'tones': []}}
9104,{'document_tone': {'tones': []}}
9105,{'document_tone': {'tones': []}}
9106,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Different city?', 'tones': []}, {'sentence_id': 1, 'text': 'No free WIFI????', 'tones': []}]}"
9107,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Different city?', 'tones': []}, {'sentence_id': 1, 'text': 'No free WIFI????', 'tones': []}]}"
9108,{'document_tone': {'tones': []}}
9109,{'document_tone': {'tones': []}}
9110,{'document_tone': {'tones': []}}
9111,{'document_tone': {'tones': []}}
9112,{'document_tone': {'tones': []}}
9113,"{'document_tone': {'tones': [{'score': 0.793919, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9114,{'document_tone': {'tones': []}}
9115,{'document_tone': {'tones': []}}
9116,{'document_tone': {'tones': []}}
9117,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9118,"{'document_tone': {'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9119,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9120,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9121,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
9122,"{'document_tone': {'tones': [{'score': 0.779278, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.993864, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
9123,"{'document_tone': {'tones': [{'score': 0.732045, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
